time,angleDegrees
0,50
0.14,39
0.28,-4
0.42,-30
0.49,-40
0.7,2
0.84,45
0.98,37
1.18,-15
1.32,-39
1.47,-8
1.6,28
1.74,40
1.89,29
2.09,-12
2.23,-34
2.37,-20
2.57,25
2.71,39
2.92,12
3.06,-23
3.26,-30
3.4,-16
3.62,30
3.81,37
3.95,19
4.22,-28
4.56,-11
4.76,22
4.91,35
5.04,23
5.31,-17
5.52,-30
5.66,-14
5.87,18
6.01,33
6.15,24
6.35,-10
6.49,-25
6.63,-19
6.96,29
7.04,30
7.18,4
7.38,-27
7.59,-18
7.79,14
8,28
8.14,16
8.34,-11
8.48,-26
8.81,5
9.02,25
9.16,22
9.36,-3
9.56,-23
9.7,-20
9.78,-11
9.92,10
10,24
